RankingUpdateDate,Ladder,PairID,Position,FirstName,LastName
2025-12-30,doubles,NA,1,David,Chan
2026-01-06,doubles,NA,1,David,Chan
2026-02-03,doubles,NA,1,David,Chan
2026-01-13,doubles,NA,2,David,Chan
2026-01-14,doubles,NA,2,David,Chan
2026-01-20,doubles,NA,2,David,Chan
2026-01-25,doubles,NA,2,David,Chan
2026-01-27,doubles,NA,2,David,Chan
2025-12-16,doubles,NA,8,David,Chan
2025-12-29,doubles,NA,8,David,Chan
2026-02-10,doubles,NA,8,David,Chan
2025-12-02,doubles,NA,9,David,Chan
2025-12-05,doubles,NA,9,David,Chan
2025-11-21,doubles,NA,11,David,Chan
2025-11-22,doubles,NA,11,David,Chan
2025-11-24,doubles,NA,11,David,Chan
2025-08-05,doubles,NA,13,David,Chan
2025-12-09,doubles,NA,13,David,Chan
2025-11-25,doubles,NA,14,David,Chan
2025-08-12,doubles,NA,15,David,Chan
2025-08-13,doubles,NA,15,David,Chan
2025-07-22,doubles,NA,18,David,Chan
2025-08-19,doubles,NA,18,David,Chan
2025-08-25,doubles,NA,18,David,Chan
2025-07-29,doubles,NA,20,David,Chan
2025-08-04,doubles,NA,20,David,Chan
2025-08-26,doubles,NA,20,David,Chan
2025-08-29,doubles,NA,20,David,Chan
2025-11-11,doubles,NA,20,David,Chan
2025-11-15,doubles,NA,20,David,Chan
2026-02-09,singles,NA,20,David,Chan
2025-10-21,doubles,NA,21,David,Chan
2025-10-28,doubles,NA,21,David,Chan
2025-09-02,doubles,NA,22,David,Chan
2025-09-08,doubles,NA,22,David,Chan
2025-09-09,doubles,NA,23,David,Chan
2025-09-22,doubles,NA,23,David,Chan
2025-11-04,doubles,NA,23,David,Chan
2025-09-23,doubles,NA,25,David,Chan
2025-09-26,doubles,NA,25,David,Chan
2025-09-29,doubles,NA,25,David,Chan
2025-09-29,doubles,NA,25,David,Chan
2026-02-02,singles,NA,25,David,Chan
2025-09-30,doubles,NA,26,David,Chan
2025-10-06,doubles,NA,26,David,Chan
2025-08-25,singles,NA,27,David,Chan
2025-10-07,doubles,NA,28,David,Chan
2025-07-08,doubles,NA,29,David,Chan
2025-07-14,doubles,NA,29,David,Chan
2025-09-02,singles,NA,29,David,Chan
2025-10-14,doubles,NA,30,David,Chan
2025-10-18,doubles,NA,30,David,Chan
2025-09-08,singles,NA,31,David,Chan
2025-09-13,singles,NA,31,David,Chan
2025-09-14,singles,NA,31,David,Chan
2025-09-18,singles,NA,33,David,Chan
2025-09-22,singles,NA,35,David,Chan
2025-09-29,singles,NA,37,David,Chan
2026-01-26,singles,NA,37,David,Chan
2025-10-07,singles,NA,39,David,Chan
2025-10-13,singles,NA,41,David,Chan
2025-10-17,singles,NA,41,David,Chan
2025-10-24,singles,NA,42,David,Chan
2025-06-10,doubles,NA,43,David,Chan
2025-06-12,doubles,NA,43,David,Chan
2025-06-16,doubles,NA,43,David,Chan
2025-07-01,doubles,NA,43,David,Chan
2025-10-27,singles,NA,43,David,Chan
2025-11-04,singles,NA,45,David,Chan
2025-11-17,singles,NA,47,David,Chan
2025-11-24,singles,NA,49,David,Chan
2025-11-28,singles,NA,49,David,Chan
2025-12-03,singles,NA,51,David,Chan
2025-12-08,singles,NA,51,David,Chan
2025-12-23,singles,NA,51,David,Chan
2025-12-30,singles,NA,52,David,Chan
2026-01-05,singles,NA,52,David,Chan
2026-01-12,singles,NA,52,David,Chan
2026-01-19,singles,NA,53,David,Chan
2025-06-17,doubles,NA,57,David,Chan
2025-06-24,doubles,NA,59,David,Chan
2025-06-03,doubles,NA,60,David,Chan
2025-06-06,doubles,NA,60,David,Chan
2025-05-29,doubles,NA,81,David,Chan
2025-05-30,doubles,NA,81,David,Chan
2025-05-28,doubles,NA,82,David,Chan
2025-05-20,doubles,NA,94,David,Chan
2025-05-22,doubles,NA,94,David,Chan
2025-05-23,doubles,NA,94,David,Chan
2025-05-25,doubles,NA,94,David,Chan
2026-01-15,mixed,1316,156,David,Chan
2026-01-15,mixed,1316,156,David,Chan
2026-01-22,mixed,1316,156,David,Chan
2026-01-06,mixed,1316,157,David,Chan
2026-01-07,mixed,1316,157,David,Chan
2026-01-08,mixed,1316,157,David,Chan
2026-01-17,mixed,1316,157,David,Chan
2026-01-20,mixed,1316,157,David,Chan
2026-01-23,mixed,1316,158,David,Chan
2026-01-27,mixed,1316,158,David,Chan
2026-01-11,mixed,1316,159,David,Chan
2026-01-13,mixed,1316,159,David,Chan
2026-01-13,mixed,1316,159,David,Chan
2026-01-27,mixed,1316,159,David,Chan
2026-01-29,mixed,1316,159,David,Chan
2026-02-03,mixed,1316,160,David,Chan
2026-02-05,mixed,1316,160,David,Chan
2026-01-30,mixed,1316,161,David,Chan
2025-10-13,mixed,1316,162,David,Chan
2025-12-09,mixed,1316,162,David,Chan
2025-12-19,mixed,1316,162,David,Chan
2025-12-22,mixed,1316,162,David,Chan
2025-12-31,mixed,1316,162,David,Chan
2026-02-09,mixed,1316,162,David,Chan
2026-02-10,mixed,1316,162,David,Chan
2025-10-16,mixed,1316,163,David,Chan
2025-10-22,mixed,1316,163,David,Chan
2025-11-20,mixed,1316,163,David,Chan
2025-10-17,mixed,1316,164,David,Chan
2025-10-21,mixed,1316,164,David,Chan
2025-11-24,mixed,1316,164,David,Chan
2025-12-12,mixed,1316,164,David,Chan
2026-01-02,mixed,1316,164,David,Chan
2025-10-24,mixed,1316,165,David,Chan
2025-10-30,mixed,1316,165,David,Chan
2025-11-07,mixed,1316,165,David,Chan
2025-11-13,mixed,1316,165,David,Chan
2025-11-01,mixed,1316,166,David,Chan
2025-11-05,mixed,1316,166,David,Chan
2025-11-15,mixed,1316,166,David,Chan
2025-11-28,mixed,1316,166,David,Chan
2025-12-02,mixed,1316,166,David,Chan
2025-12-05,mixed,1316,166,David,Chan
2025-12-05,mixed,1316,166,David,Chan
2025-09-25,mixed,1316,171,David,Chan
2025-09-26,mixed,1316,173,David,Chan
2025-09-30,mixed,1316,173,David,Chan
2025-10-01,mixed,1316,173,David,Chan
2025-10-03,mixed,1316,175,David,Chan
2025-10-09,mixed,1316,175,David,Chan
2025-06-04,singles,NA,176,David,Chan
2025-06-04,singles,NA,176,David,Chan
2025-06-07,singles,NA,176,David,Chan
2025-06-12,singles,NA,176,David,Chan
2025-10-07,mixed,1316,176,David,Chan
2025-06-17,singles,NA,177,David,Chan
2025-06-21,singles,NA,177,David,Chan
2025-06-23,singles,NA,178,David,Chan
2025-06-30,singles,NA,179,David,Chan
2025-07-06,singles,NA,179,David,Chan
2025-07-09,singles,NA,180,David,Chan
2025-07-14,singles,NA,180,David,Chan
2025-07-22,singles,NA,180,David,Chan
2025-07-23,singles,NA,180,David,Chan
2025-07-27,singles,NA,180,David,Chan
2025-07-28,singles,NA,180,David,Chan
2025-08-05,singles,NA,180,David,Chan
2025-08-08,singles,NA,180,David,Chan
2025-08-14,singles,NA,181,David,Chan
2025-08-18,singles,NA,182,David,Chan
2025-08-21,singles,NA,182,David,Chan
2025-08-23,singles,NA,182,David,Chan
2025-05-13,doubles,NA,185,David,Chan
2025-05-17,doubles,NA,185,David,Chan
2025-05-17,doubles,NA,185,David,Chan
2025-05-19,doubles,NA,185,David,Chan
2025-05-12,doubles,NA,187,David,Chan
2025-05-12,doubles,NA,187,David,Chan
2025-05-29,mixed,1311,188,David,Chan
2025-05-31,mixed,1311,189,David,Chan
2025-06-02,mixed,1311,189,David,Chan
2025-06-04,mixed,1311,189,David,Chan
2025-06-05,mixed,1311,189,David,Chan
2025-06-09,mixed,1311,191,David,Chan
2025-05-29,mixed,1316,192,David,Chan
2025-05-31,mixed,1316,193,David,Chan
2025-06-02,mixed,1316,193,David,Chan
2025-06-04,mixed,1316,193,David,Chan
2025-06-05,mixed,1316,193,David,Chan
2025-06-13,mixed,1311,194,David,Chan
2025-06-16,mixed,1311,194,David,Chan
2025-06-19,mixed,1311,194,David,Chan
2025-06-19,mixed,1311,194,David,Chan
2025-05-23,mixed,1311,195,David,Chan
2025-05-28,mixed,1311,195,David,Chan
2025-06-09,mixed,1316,195,David,Chan
2025-06-29,mixed,1311,195,David,Chan
2025-05-10,doubles,NA,196,David,Chan
2025-06-20,mixed,1311,196,David,Chan
2025-06-24,mixed,1311,196,David,Chan
2025-06-26,mixed,1311,196,David,Chan
2025-06-26,mixed,1311,196,David,Chan
2025-05-22,mixed,1311,197,David,Chan
2025-07-01,mixed,1311,197,David,Chan
2025-07-02,mixed,1311,197,David,Chan
2025-07-03,mixed,1311,197,David,Chan
2025-06-13,mixed,1316,198,David,Chan
2025-06-16,mixed,1316,198,David,Chan
2025-06-19,mixed,1316,198,David,Chan
2025-06-19,mixed,1316,198,David,Chan
2025-07-04,mixed,1311,198,David,Chan
