RankingUpdateDate,Ladder,Position,P1_ID,P1_Name,P2_ID,P2_Name
2025-02-24,mixed,12,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-25,mixed,12,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-27,mixed,12,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-10,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-10,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-13,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-03-03,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-03-04,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-03-05,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-03-06,mixed,17,648,Arseny Shestakov,858,Inuzuka Mayu
2025-01-30,mixed,18,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-15,mixed,19,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-18,mixed,19,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-19,mixed,19,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-03,mixed,20,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-03,mixed,20,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-05,mixed,20,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-06,mixed,20,648,Arseny Shestakov,858,Inuzuka Mayu
2025-02-06,mixed,20,648,Arseny Shestakov,858,Inuzuka Mayu
