RankingUpdateDate,Ladder,Position,P1_ID,P1_Name,P2_ID,P2_Name
2025-05-22,mixed,88,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-15,mixed,91,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-21,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-29,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-01,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-01,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-12,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-15,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-20,mixed,92,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-12,mixed,93,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-16,mixed,93,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-05,mixed,94,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-07,mixed,94,696,Kumar Ramachandran,641,Yoga Murugesan
2025-05-08,mixed,94,696,Kumar Ramachandran,641,Yoga Murugesan
2025-01-30,mixed,154,696,Kumar Ramachandran,641,Yoga  Murugesan
2025-03-27,mixed,154,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-20,mixed,155,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-24,mixed,155,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-25,mixed,155,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-03,mixed,156,696,Kumar Ramachandran,641,Yoga  Murugesan
2025-02-03,mixed,156,696,Kumar Ramachandran,641,Yoga  Murugesan
2025-02-05,mixed,156,696,Kumar Ramachandran,641,Yoga  Murugesan
2025-02-06,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-06,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-31,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-31,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-01,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-03,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-03,mixed,156,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-06,mixed,157,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-07,mixed,157,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-10,mixed,157,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-10,mixed,158,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-10,mixed,158,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-13,mixed,158,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-17,mixed,158,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-15,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-18,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-19,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-06,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-14,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-15,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-04-17,mixed,159,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-06,mixed,160,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-24,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-25,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-02-27,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-04,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-05,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-07,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-11,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-11,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-13,mixed,161,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-03,mixed,163,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-17,mixed,163,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-18,mixed,163,696,Kumar Ramachandran,641,Yoga Murugesan
2025-03-20,mixed,163,696,Kumar Ramachandran,641,Yoga Murugesan
